city,year_joined,fy_end
Arcata,,2020-2021
Cloverdale,1976,2020-2021
Cotati,1976,2020-2021
Eureka,,2020-2021
Fort Bragg,,2020-2021
Fortuna,,2020-2021
Healdsburg,1976,2020-2021
Lakeport,,2020-2021
Rohnert Park,1976,2020-2021
Sebastopol,1976,2020-2021
Sonoma,1976,2020-2021
St. Helena,,2020-2021
Ukiah,1976,2020-2021
Willits,,2020-2021
Windsor,,2020-2021
